Company Name,High,Low,Last Price,% Chg,Value (Rs. cr.)
Persistent,1940.00,1822.65,1922.60,5.54,27.05
TV18 Broadcast,29.95,28.75,29.15,-1.35,26.22
TML-D,131.15,127.10,129.05,0.31,25.87
Can Fin Homes,604.30,580.00,600.40,4.25,25.47
Century,474.20,454.50,459.40,-1.80,25.29
Kajaria Ceramic,946.55,897.00,935.70,4.12,25.21
Godrej Ind,550.00,531.00,545.80,2.84,25.12
Vaibhav Global,3802.05,3602.50,3667.55,-3.06,24.65
Kansai Nerolac,594.50,569.75,591.20,4.02,24.10
KPIT Tech,183.70,175.25,179.20,1.56,24.05
Amber Enterpris,3295.00,3105.00,3249.15,5.65,23.88
Dilip Buildcon,591.00,564.00,584.15,4.31,23.83
BSE Limited,575.75,552.35,566.15,2.40,22.95
Hind Copper,127.20,120.60,121.45,-1.46,22.70
Bank of India,70.30,69.10,69.75,0.07,22.17
P and G,12925.00,12110.00,12383.10,-2.79,21.77
Coromandel Int,773.05,755.00,769.70,2.24,21.64
Ajanta Pharma,1884.55,1754.95,1862.65,4.17,21.11
Supreme Ind,2045.00,1992.55,2027.25,0.65,21.06
Affle India,5325.00,5210.65,5287.35,2.00,20.83
United Brewerie,1257.05,1221.80,1227.40,-0.72,20.82
Union Bank,34.50,33.60,34.10,0.59,20.68
Equitas Holding,89.80,84.80,85.90,-1.21,20.61
INOX Leisure,298.45,285.00,289.35,-3.97,20.60
Natco Pharma,829.10,805.45,821.40,2.21,20.59
JK Lakshmi Cem,423.00,412.10,419.80,2.42,20.27
MCX India,1579.15,1525.00,1529.45,-2.45,20.07
IDFC,48.90,46.95,47.40,-0.32,19.86
Dalmia Bharat,1605.90,1537.15,1584.00,2.10,19.72
Greaves Cotton,133.15,124.45,131.05,3.88,19.62
ABB India,1481.55,1431.05,1439.35,-0.98,19.52
Relaxo Footwear,909.00,875.15,882.25,0.19,19.38
Shipping Corp,115.95,112.85,113.45,-0.87,19.18
Avanti Feeds,436.00,415.50,418.80,-1.47,18.66
Radico Khaitan,577.00,559.25,563.85,0.60,18.60
Syngene Intl,542.95,527.05,534.55,0.03,17.99
Suzlon Energy,5.65,5.25,5.25,-4.55,17.94
